,roc_auc,tp,fp,tn,fn,tpr,tnr,geometric_mean,arithmetic_mean,f1_score,precision,elapsed,minority_size,embedding_type,dropped_columns,max_depth,threshold
10,0.7604890000000001,18277,10501369,19277857,6852,0.7273270000000001,0.647359,0.686179,0.687343,0.003467,0.001737,1349.105134,0.084313,catboost,nppes_provider_state|hcpcs_code,8,0.000843
11,0.7970729999999999,18289,8690249,21088977,6840,0.727805,0.7081770000000001,0.717924,0.7179909999999999,0.004188,0.0021,1436.328806,0.084313,catboost,none,8,0.000843
12,0.80625,18585,8611247,21167979,6544,0.739584,0.7108300000000001,0.725065,0.7252069999999999,0.004295,0.002154,1644.031613,0.084313,catboost,hcpcs_code,8,0.000843
13,0.7678020000000001,18485,10358028,19421198,6644,0.735604,0.652173,0.6926329999999999,0.6938880000000001,0.003554,0.0017809999999999998,1372.472956,0.084313,catboost,nppes_provider_state|hcpcs_code,8,0.000843
14,0.805936,18469,8438973,21340253,6660,0.7349680000000001,0.716615,0.725733,0.725792,0.0043549999999999995,0.002184,1458.309395,0.084313,catboost,none,8,0.000843
15,0.810113,18618,8438778,21340448,6511,0.740897,0.716622,0.728658,0.728759,0.00439,0.0022010000000000003,1651.979036,0.084313,catboost,hcpcs_code,8,0.000843
16,0.7966340000000001,18286,8614068,21165157,6842,0.7277140000000001,0.7107359999999999,0.719175,0.719225,0.004224,0.002118,1384.442632,0.08431,catboost,none,8,0.000843
17,0.769048,18554,10368209,19411016,6574,0.738379,0.651831,0.693757,0.695105,0.003564,0.001786,1377.501601,0.08431,catboost,nppes_provider_state|hcpcs_code,8,0.000843
18,0.804692,18397,8413569,21365656,6731,0.7321310000000001,0.7174689999999999,0.724763,0.7248,0.004351,0.002182,1597.201984,0.08431,catboost,hcpcs_code,8,0.000843
19,0.801782,18369,8462613,21316612,6760,0.730988,0.7158220000000001,0.7233649999999999,0.723405,0.004319,0.002166,1374.860704,0.084313,catboost,none,8,0.000843
20,0.760107,18442,10670383,19108842,6687,0.733893,0.641684,0.686241,0.6877880000000001,0.003443,0.001725,1367.4708269999999,0.084313,catboost,nppes_provider_state|hcpcs_code,8,0.000843
21,0.7984,18171,8509123,21270103,6958,0.723109,0.71426,0.718671,0.718684,0.004249,0.002131,1372.738073,0.084313,catboost,none,8,0.000843
22,0.770799,18463,10250533,19528693,6666,0.734729,0.655782,0.694134,0.695256,0.003587,0.0017980000000000001,1372.497748,0.084313,catboost,nppes_provider_state|hcpcs_code,8,0.000843
23,0.805477,18419,8487569,21291656,6710,0.732978,0.7149840000000001,0.723925,0.723981,0.004318,0.002165,1647.752919,0.084313,catboost,hcpcs_code,8,0.000843
24,0.80406,18472,8446260,21332966,6657,0.7350869999999999,0.716371,0.725669,0.725729,0.004352,0.002182,1381.453824,0.084313,catboost,none,8,0.000843
25,0.7701100000000001,18567,10384504,19394722,6562,0.738867,0.651284,0.693695,0.695076,0.003561,0.0017850000000000001,1385.314847,0.084313,catboost,nppes_provider_state|hcpcs_code,8,0.000843
26,0.807567,18544,8458750,21320476,6585,0.737952,0.715951,0.726869,0.726952,0.0043619999999999996,0.002187,1652.97609,0.084313,catboost,hcpcs_code,8,0.000843
27,0.808476,18564,8399517,21379709,6565,0.738748,0.7179399999999999,0.72827,0.728344,0.004397,0.002205,1373.74995,0.084313,catboost,none,8,0.000843
